Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,CountryID,Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,57,Finland,Europe,20.0,11.0,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85.0,80.0,2.0,31.3,20.0,44.1,55.6,5.5,$244.0 ,3.0,0.8,"$44,333",8.6,0.8,"1,327.9",61.4
2,denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,45,Denmark,Europe,14.0,6.0,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90.0,80.0,2.0,56.0,23.5,45.9,53.4,5.7,$286.8 ,2.1,1.6,"$49,883",5.7,1.1,"-3,114.7",36.4
3,norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,124,Norway,Europe,26.0,15.0,73.0,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75.0,60.0,3.4,47.8,23.0,38.0,49.9,5.3,$380.0 ,1.8,1.6,"$71,831",4.2,1.9,"-8,296.9",36.7
4,iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,73,Iceland,Europe,11.0,4.0,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85.0,70.0,1.5,31.8,20.0,36.4,43.2,0.3,$17.6 ,3.6,4.4,"$51,842",2.8,1.8,-5.4,40.9
5,netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,119,Netherlands,Europe,13.0,5.0,76.8,88.0,74.7,89.1,51.6,42.9,93.3,81.4,60.3,84.0,86.0,90.0,80.0,2.0,52.0,25.0,38.8,43.6,17.1,$916.1 ,3.1,1.8,"$53,635",4.8,1.3,"57,956.7",56.7
6,switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,158,Switzerland,Europe,4.0,1.0,81.9,85.3,82.0,88.0,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85.0,90.0,1.3,40.0,24.0,27.8,34.3,8.4,$517.2 ,1.1,1.6,"$61,422",4.8,0.5,"40,986.1",42.8
7,sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,157,Sweden,Europe,19.0,10.0,75.2,89.5,84.0,88.0,43.2,26.7,96.6,88.0,53.9,82.0,86.0,85.0,80.0,2.0,57.0,22.0,44.1,49.4,10.1,$520.9 ,2.4,2.8,"$51,475",6.7,1.9,"15,395.7",40.9
8,new zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,120,New Zealand,Asia-Pacific,3.0,3.0,84.4,95.0,83.5,96.7,71.0,50.4,98.6,91.0,86.7,87.5,92.4,80.0,80.0,1.3,33.0,28.0,32.1,40.7,4.8,$188.6 ,3.0,3.3,"$38,934",4.9,1.9,"3,572.0",26.4
9,canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,29,Canada,Americas,8.0,1.0,77.7,87.0,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80.0,80.0,1.6,33.0,15.0,31.7,40.3,36.7,"$1,769.3 ",3.0,2.1,"$48,265",6.3,1.6,"24,243.8",89.7
10,austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,8,Austria,Europe,31.0,16.0,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0,2.0,50.0,25.0,42.7,50.2,8.8,$439.6 ,2.9,1.3,"$49,869",5.5,2.2,"9,629.6",78.8
11,australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,7,Australia,Asia-Pacific,5.0,4.0,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,24.8,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,"46,368.0",41.6
12,costa rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,39,Costa Rica,Americas,61.0,11.0,65.3,58.3,54.0,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70.0,50.0,1.8,25.0,30.0,23.6,19.6,5.0,$83.9 ,3.2,3.4,"$16,877",8.1,1.6,"3,007.1",49.1
13,israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,79,Israel,Middle East and North Africa,27.0,2.0,72.8,80.0,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75.0,70.0,2.8,48.0,23.0,31.2,39.8,8.7,$316.5 ,3.3,3.5,"$36,340",4.3,0.2,"18,954.0",61.0
14,luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,99,Luxembourg,Europe,17.0,9.0,75.9,83.0,72.4,85.8,65.4,46.6,98.9,68.8,45.9,82.6,86.0,95.0,80.0,2.0,42.0,18.0,37.1,42.2,0.6,$62.7 ,3.5,3.8,"$106,374",5.5,2.1,"6,622.7",23.0
15,united kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,174,United Kingdom,Europe,7.0,3.0,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90.0,80.0,2.0,45.0,20.0,33.2,41.6,66.1,"$2,914.0 ",1.8,2.2,"$44,118",4.3,2.7,"15,090.0",87.0
16,ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,78,Ireland,Europe,6.0,2.0,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90.0,70.0,2.0,41.0,12.5,23.0,27.4,4.7,$357.2 ,7.8,9.7,"$75,538",6.4,0.3,"28,974.6",68.5
17,germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,62,Germany,Europe,24.0,14.0,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80.0,70.0,2.0,47.5,15.8,37.6,43.9,82.7,"$4,170.8 ",2.5,1.7,"$50,425",3.8,1.7,"34,726.3",64.1
18,belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,15,Belgium,Europe,48.0,25.0,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0,2.0,50.0,29.0,44.2,53.2,11.4,$528.5 ,1.7,1.2,"$46,553",7.4,2.2,740.4,103.2
19,united states,6.892,1.433,1.457,0.874,0.454,0.28,0.128,175,United States,Americas,12.0,2.0,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85.0,80.0,1.7,37.0,21.0,26.0,37.8,325.9,"$19,390.6 ",2.3,2.2,"$59,501",4.4,2.1,"275,381.0",107.8
20,czech republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,44,Czech Republic,Europe,23.0,13.0,73.7,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86.0,80.0,80.0,2.0,15.0,19.0,34.0,40.0,10.6,$375.7 ,4.3,2.9,"$35,512",2.9,2.4,"7,412.2",34.7
21,united arab emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,173,United Arab Emirates,Middle East and North Africa,9.0,1.0,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40.0,60.0,2.8,0.0,0.0,8.9,32.3,10.1,$686.8 ,0.5,3.3,"$67,741",1.7,2.0,"10,354.2",19.5
22,malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,107,Malta,Europe,41.0,20.0,68.6,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86.0,85.0,60.0,2.0,35.0,35.0,33.6,38.3,0.5,$19.3 ,6.6,6.9,"$41,945",4.0,1.3,"3,185.2",52.6
23,mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,110,Mexico,Americas,66.0,12.0,64.7,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75.0,60.0,4.3,35.0,30.0,17.2,26.9,123.5,"$2,458.4 ",2.0,2.5,"$19,903",3.4,6.0,"29,695.0",54.2
24,france,6.592,1.324,1.472,1.045,0.436,0.111,0.183,58,France,Europe,71.0,35.0,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75.0,70.0,2.0,45.0,33.0,45.3,56.6,64.8,"$2,835.8 ",1.8,1.1,"$43,761",9.4,1.2,"49,794.9",97.0
25,taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,160,Taiwan ,Asia-Pacific,10.0,5.0,77.3,85.4,70.1,69.2,75.0,90.6,91.6,93.2,60.9,84.4,87.0,60.0,60.0,1.5,45.0,20.0,8.9,17.7,23.6,"$1,185.5 ",2.8,2.2,"$50,294",3.8,0.6,"3,255.0",35.2
26,chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,33,Chile,Americas,18.0,3.0,75.4,68.7,56.3,62.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0,0.6,35.0,25.0,20.4,25.2,18.4,$451.1 ,1.5,2.2,"$24,537",7.0,2.2,"6,729.6",23.6
27,guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,65,Guatemala,Americas,77.0,16.0,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77.0,82.2,70.0,50.0,1.4,31.0,31.0,12.6,12.1,16.9,$137.8 ,2.8,3.6,"$8,145",2.7,4.4,"1,146.7",24.4
28,saudi arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,142,Saudi Arabia,Middle East and North Africa,91.0,9.0,60.7,55.0,62.7,49.8,99.8,57.5,19.4,72.3,63.3,78.1,76.0,45.0,50.0,4.5,2.5,2.5,3.4,37.6,32.4,"$1,773.6 ",-0.7,2.3,"$54,777",5.5,-0.9,"1,421.0",17.3
29,qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,134,Qatar,Middle East and North Africa,28.0,3.0,72.6,64.5,60.0,77.4,99.7,56.8,94.0,71.2,65.9,78.4,83.2,60.0,60.0,3.4,0.0,0.0,5.7,37.9,2.7,$340.6 ,2.1,3.3,"$124,529",0.1,0.4,986.0,54.0
30,spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,152,Spain,Europe,57.0,28.0,65.7,72.9,51.4,51.9,62.3,46.2,51.1,66.8,57.8,87.5,86.0,85.0,70.0,2.0,45.0,25.0,33.5,42.3,46.3,"$1,773.9 ",3.1,1.9,"$38,286",17.2,2.0,"19,086.1",98.4
31,panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,127,Panama,Americas,50.0,9.0,67.2,60.4,30.1,34.1,85.0,85.3,91.3,73.6,43.4,79.4,79.2,75.0,70.0,5.4,25.0,25.0,15.8,22.2,4.1,$103.9 ,5.4,5.8,"$25,351",4.5,0.9,"5,319.2",38.2
32,brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22,Brazil,Americas,150.0,27.0,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50.0,50.0,8.0,27.5,34.0,32.2,38.6,207.7,"$3,240.3 ",1.0,-0.5,"$15,603",13.3,3.4,"62,712.6",84.0
33,uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,176,Uruguay,Americas,40.0,6.0,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85.0,30.0,5.7,30.0,25.0,27.4,32.9,3.5,$78.1 ,3.1,2.6,"$22,371",7.9,6.2,-124.6,66.2
34,singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,147,Singapore,Asia-Pacific,2.0,2.0,89.4,97.4,92.4,95.1,90.4,90.7,80.0,90.8,91.0,85.3,94.8,85.0,80.0,0.1,22.0,17.0,13.7,17.6,5.6,$527.0 ,3.6,3.5,"$93,906",2.0,0.6,"62,006.0",110.9
35,el salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,51,El Salvador,Americas,84.0,17.0,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79.0,81.4,75.0,60.0,1.8,30.0,30.0,19.7,21.4,6.4,$57.0 ,2.4,2.1,"$8,948",4.5,1.0,791.9,59.3
36,italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,80,Italy,Europe,80.0,36.0,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85.0,50.0,2.0,43.0,27.5,42.9,49.5,60.6,"$2,310.9 ",1.5,0.3,"$38,140",11.2,1.3,"17,077.1",131.5
37,bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,11,Bahrain,Middle East and North Africa,54.0,5.0,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75.0,80.0,3.1,0.0,0.0,5.6,35.3,1.5,$70.4 ,3.2,3.8,"$48,505",1.2,1.4,518.9,90.3
40,poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,132,Poland,Europe,46.0,23.0,67.8,62.3,44.0,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86.0,80.0,70.0,2.0,32.0,19.0,33.6,41.3,38.0,"$1,121.0 ",4.6,3.2,"$29,521",4.9,2.0,"6,433.5",51.4
41,uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,177,Uzbekistan,Asia-Pacific,140.0,36.0,53.3,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10.0,10.0,8.7,22.0,7.5,18.2,33.0,32.1,$222.6 ,5.3,7.4,"$6,929",7.2,12.5,95.8,24.5
42,lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,98,Lithuania,Europe,21.0,12.0,74.2,73.6,61.2,47.8,86.4,65.1,97.3,75.2,63.6,84.6,86.0,80.0,70.0,2.0,15.0,15.0,30.2,34.1,2.8,$91.2 ,3.8,3.0,"$32,299",7.1,3.7,595.4,36.5
43,colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,35,Colombia,Americas,49.0,8.0,67.3,59.2,34.3,33.5,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80.0,70.0,7.0,33.0,33.0,19.9,28.9,49.3,$714.0 ,1.8,3.2,"$14,485",8.9,4.3,"14,518.0",49.4
44,slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,149,Slovenia,Europe,58.0,29.0,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86.0,70.0,50.0,2.0,50.0,17.0,37.0,45.4,2.1,$71.1 ,5.0,2.5,"$34,407",6.6,1.4,702.0,75.4
45,nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,121,Nicaragua,Americas,107.0,21.0,57.7,33.4,18.7,20.3,76.9,79.1,93.9,56.0,55.8,72.7,76.0,60.0,50.0,2.0,30.0,30.0,22.6,26.4,6.2,$36.4 ,4.9,4.8,"$5,849",4.4,3.9,896.6,33.6
47,argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,5,Argentina,Americas,148.0,26.0,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0,7.5,35.0,30.0,30.8,41.0,44.1,$920.2 ,2.9,0.7,"$20,876",8.7,25.7,"11,857.0",52.6
48,romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,135,Romania,Europe,42.0,21.0,68.6,66.7,51.9,39.8,89.7,69.0,89.3,63.1,64.5,82.7,86.0,70.0,50.0,2.0,10.0,16.0,26.0,32.1,19.6,$481.5 ,7.0,4.5,"$24,508",4.9,1.3,"5,160.0",36.9
49,cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,43,Cyprus,Europe,44.0,22.0,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75.0,60.0,2.0,35.0,12.5,33.6,38.7,0.9,$31.6 ,3.9,0.3,"$37,023",11.0,0.7,"6,343.3",99.3
50,ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,49,Ecuador,Americas,170.0,29.0,46.9,35.9,20.2,25.3,77.0,55.5,32.1,54.1,48.2,73.5,66.4,35.0,40.0,6.8,35.0,25.0,21.2,38.5,16.8,$192.6 ,2.7,2.0,"$11,482",3.8,0.4,606.4,45.0
51,kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,89,Kuwait,Middle East and North Africa,90.0,8.0,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79.0,55.0,60.0,3.0,0.0,15.0,1.6,52.5,4.4,$291.5 ,-2.5,-0.1,"$66,163",2.1,1.5,300.5,20.6
52,thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,163,Thailand,Asia-Pacific,43.0,10.0,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83.0,55.0,60.0,3.5,35.0,20.0,15.6,21.8,69.1,"$1,233.7 ",3.9,2.8,"$17,856",1.1,0.7,"7,635.2",41.9
53,latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,92,Latvia,Europe,35.0,18.0,70.4,67.3,48.4,35.5,77.0,57.1,96.9,77.5,73.3,81.1,86.0,85.0,60.0,2.0,31.4,20.0,30.2,37.8,2.0,$53.9 ,4.5,2.8,"$27,644",8.7,2.9,721.2,34.8
55,estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,54,Estonia,Europe,15.0,7.0,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90.0,70.0,2.0,20.0,20.0,34.7,40.4,1.3,$41.6 ,4.9,2.7,"$31,750",5.8,3.7,784.4,8.8
56,jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,81,Jamaica,Americas,39.0,5.0,68.6,60.7,49.2,45.0,80.2,76.0,80.0,78.0,73.6,82.6,68.4,80.0,50.0,10.8,25.0,25.0,27.1,28.3,2.8,$26.1 ,1.0,0.8,"$9,163",12.5,4.4,888.0,104.1
57,mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,109,Mauritius,Sub-Saharan Africa,25.0,1.0,73.0,69.5,62.1,40.3,92.1,80.3,73.6,79.8,60.8,79.4,88.4,80.0,70.0,0.8,15.0,15.0,18.4,25.6,1.3,$27.5 ,3.9,3.6,"$21,640",7.1,3.7,292.7,60.2
58,japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,82,Japan,Asia-Pacific,30.0,8.0,72.1,84.1,68.5,78.0,68.2,55.0,55.7,80.5,79.0,85.9,80.0,70.0,60.0,2.5,40.8,23.9,30.7,38.7,126.7,"$5,428.8 ",1.7,1.3,"$42,832",2.8,0.5,"10,429.8",236.4
59,honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,70,Honduras,Americas,93.0,20.0,60.2,43.4,31.0,25.3,82.8,78.2,95.9,56.9,32.0,73.0,79.4,65.0,60.0,2.8,25.0,25.0,21.6,27.0,8.3,$46.2 ,4.8,3.6,"$5,562",4.5,3.9,"1,185.7",43.9
60,kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,84,Kazakhstan,Asia-Pacific,59.0,12.0,65.4,59.3,56.1,40.3,93.4,83.7,41.0,73.9,86.2,70.9,80.0,50.0,50.0,2.5,10.0,20.0,12.8,23.3,18.2,$477.6 ,4.0,3.3,"$26,252",4.9,7.4,"4,633.7",21.2
61,bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,19,Bolivia,Americas,173.0,30.0,42.3,20.5,12.3,19.7,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15.0,40.0,4.8,13.0,25.0,31.1,41.1,11.1,$83.6 ,4.2,5.1,"$7,547",3.1,2.8,724.7,50.9
62,hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,72,Hungary,Europe,64.0,31.0,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80.0,70.0,2.0,15.0,19.0,39.4,47.7,9.8,$289.0 ,4.0,3.2,"$29,474",4.2,2.4,"2,491.6",69.9
63,paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,129,Paraguay,Americas,85.0,18.0,61.8,39.5,30.0,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75.0,60.0,4.2,10.0,10.0,13.0,26.5,7.0,$68.3 ,4.3,6.0,"$9,826",4.6,3.6,355.8,25.6
65,peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,130,Peru,Americas,45.0,7.0,67.8,56.1,34.0,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75.0,60.0,1.8,30.0,28.0,16.0,21.5,31.8,$424.4 ,2.5,3.6,"$13,334",3.6,2.8,"6,769.5",25.5
66,portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,133,Portugal,Europe,62.0,30.0,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83.0,86.0,70.0,60.0,2.0,48.0,23.0,34.4,46.3,10.3,$313.4 ,2.7,1.2,"$30,417",8.9,1.6,"6,945.6",125.6
67,pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,126,Pakistan,Asia-Pacific,131.0,32.0,55.0,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55.0,40.0,10.1,30.0,30.0,12.4,20.3,197.3,"$1,057.0 ",5.3,4.3,"$5,358",4.0,4.1,"2,806.0",67.2
68,russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,136,Russia,Europe,98.0,41.0,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30.0,30.0,3.6,13.0,20.0,22.2,35.4,144.0,"$4,007.8 ",1.5,0.3,"$27,834",5.2,3.7,"25,284.0",17.4
69,philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,131,Philippines,Asia-Pacific,70.0,15.0,63.8,48.7,36.4,30.9,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60.0,60.0,3.4,35.0,30.0,13.7,19.4,105.3,$875.6 ,6.7,6.6,"$8,315",2.4,3.2,"9,524.3",37.8
70,serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,144,Serbia,Europe,69.0,34.0,63.9,50.1,44.8,37.2,82.0,45.1,90.1,72.9,67.4,80.0,77.0,70.0,50.0,6.5,10.0,15.0,38.4,42.8,7.0,$105.5 ,1.8,1.2,"$15,000",14.1,3.1,"2,866.7",61.5
71,moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,112,Moldova,Europe,97.0,40.0,59.1,55.2,29.6,25.4,85.4,59.1,92.0,67.0,39.0,73.5,78.0,55.0,50.0,3.5,18.0,12.0,31.5,36.9,3.5,$20.1 ,4.0,4.4,"$5,661",4.5,6.6,213.8,37.7
